"pair","bg","bg.obs","bg.obs.se","single.1","s1.e","single.2","s2.e","expected.V","expected.se","observed.V","observed.se","epsilon","epsilon.se","eps.zero","eps.zero.se","bg.size","d.epsilon.ABC","d.epsilon.ABC.se","Vj.1.V2","Vj.1.V2.se","Vj.2.V2","Vj.2.V2.se","Vj.real.V2","se.real.V2","eps.2","eps.2.se"
"C-T","E",0,0,0.497554983536475,0.119851363359158,11.278371350314,0.624101148595879,11.7759263338505,0.63550499052151,10.12096222362,0.539914412568263,-1.65496411023048,0.83389097961105,0.612834344846161,1.28722853889704,1,-2.26779845507664,1.53373122718021,7.97124445026975,0.203194710922311,12.3887606786966,1.46403554786841,10.12096222362,0.539914412568263,4.41751622842685,1.47806907009421
"C-T","M",2.60510350865721,0.257948961344854,-2.60510350865721,0.257948961344854,8.61945214401099,0.739888044753877,6.01434863535378,0.783563644784905,6.00532158256399,0.49728390857816,-0.00902705278978999,0.928042709771149,0.612834344846161,1.28722853889704,1,-0.621861397635951,1.5868902238373,10.576347958927,0.328368325521343,9.23228648885715,1.55564878572643,8.6104250912212,0.425151289627449,-1.34406147006985,1.58992732592965
"C-T","P",0.339957610763573,0.128840164092509,2.52776901911999,0.286932933905884,15.4801761920118,1.71626777685019,18.0079452111318,1.74008781112165,9.09116276238866,0.577051374260061,-8.91678244874316,1.83327408724106,0.612834344846161,1.28722853889704,1,-9.52961679358932,2.24005606856181,8.31120206103332,0.240598999229395,18.9607371667416,2.18724458411539,9.43112037315223,0.562484222580545,10.6495351057083,2.20043785396732
"C-T","S",1.49481754514853,0.0561185978486826,0.45865844142605,0.089012353752135,9.93392184124537,0.590696277543043,10.3925802826714,0.597365291445446,NA,NA,NA,NA,0.612834344846161,1.28722853889704,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-T","-",0,0,0,0,7.97124445026975,0.203194710922311,7.97124445026975,0.203194710922311,8.58407879511591,1.27108977684671,0.612834344846161,1.28722853889704,0.612834344846161,1.28722853889704,0,0,1.8204160575819,NA,NA,NA,NA,NA,NA,NA,NA
"E-M","C",0,0,0.497554983536475,0.119851363359158,0,0,0.497554983536475,0.119851363359158,0.528316968781174,0.0911117039040756,0.030761985244699,0.150551293210496,-1.07740044617138,0.27407114757141,1,1.10816243141608,0.312699033926334,2.60510350865721,0.257948961344854,-0.579845462634905,0.471757010067616,0.528316968781174,0.0911117039040756,-3.18494897129211,0.537673082092479
"E-M","P",0.339957610763573,0.128840164092509,16.2289027256401,1.27691719156891,22.1961512876836,3.12828938070919,38.4250540133238,3.37886252510843,21.6102196801725,2.49179030266372,-16.8148343331512,4.19830095110285,-1.07740044617138,0.27407114757141,1,-15.7374338869798,4.20723732037571,2.94506111942078,0.288335662973337,37.6876111779159,3.41196454827925,21.9501772909361,2.48845717756315,34.7425500584951,3.42412609774475
"E-M","S",1.49481754514853,0.0561185978486826,-0.10951938027812,0.0927528843282115,0.19618765595336,0.122236955582951,0.0866682756752399,0.153443705838301,1.19098829717674,0.181529278892703,1.1043200215015,0.237692763786986,-1.07740044617138,0.27407114757141,1,2.18172046767288,0.362784845173838,4.09992105380574,0.263982885209233,0.504085374652389,0.48464894009456,2.68580584232527,0.172637139894064,-3.59583567915335,0.551880022122718
"E-M","T",7.97124445026975,0.203194710922311,3.30712690004425,0.656346199977951,3.25331120239845,0.722623513772994,6.5604381024427,0.976204423716224,3.12398015673735,0.679416842866991,-3.43645794570535,1.18936214974854,-1.07740044617138,0.27407114757141,1,-2.35905749953397,1.22053157156445,10.576347958927,0.328368325521343,13.4542821065411,1.0965644051668,11.0952246070071,0.648320257144992,2.8779341476141,1.14467429947759
"E-M","-",0,0,0,0,2.60510350865721,0.257948961344854,2.60510350865721,0.257948961344854,1.52770306248583,0.0926138611235951,-1.07740044617138,0.27407114757141,-1.07740044617138,0.27407114757141,0,0,0.387595133950646,NA,NA,NA,NA,NA,NA,NA,NA
