"well","strain","f.j","starch","cond.SN","cond.SN.dil","x","cfu.m","cfu.sd","od600.m","od600.sd"
"G06","P",0.13577477426953,TRUE,"T","0",0.5,2611.11111111111,0,0.001,0
"G06","P",0.135213953227525,TRUE,"T","0",0.25,2611.11111111111,0,0.001,0
"G06","P",0.212663339128484,TRUE,"T","0",0.125,2611.11111111111,0,0.001,0
"G06","P",0.172564634625091,TRUE,"T","0",0.05,2611.11111111111,0,0.001,0
"G06","P",0.130839549099882,TRUE,"T","0",0.025,2611.11111111111,0,0.001,0
"G06","P",1,FALSE,"T","0",0.5,2611.11111111111,0,0.001,0
"G06","P",0,TRUE,"T","0",0,NA,NA,NA,NA
"G07","P",0.997992456503224,TRUE,"T","0.1",0.5,95827.7777777778,7981.82305705463,0.0367,0.00305686840482943
"G07","P",0.999087480228738,TRUE,"T","0.1",0.25,95827.7777777778,7981.82305705463,0.0367,0.00305686840482943
"G07","P",0.997870787200389,TRUE,"T","0.1",0.125,95827.7777777778,7981.82305705463,0.0367,0.00305686840482943
"G07","P",0.994829054629517,TRUE,"T","0.1",0.05,95827.7777777778,7981.82305705463,0.0367,0.00305686840482943
"G07","P",0.859471955225697,TRUE,"T","0.1",0.025,95827.7777777778,7981.82305705463,0.0367,0.00305686840482943
"G07","P",1,FALSE,"T","0.1",0.5,95827.7777777778,7981.82305705463,0.0367,0.00305686840482943
"G07","P",0,TRUE,"T","0.1",0,NA,NA,NA,NA
"G08","P",0.999091786342737,TRUE,"T","0.05",0.5,89300,14023.5007536707,0.0342,0.00537070241629942
"G08","P",0.999148549696316,TRUE,"T","0.05",0.25,89300,14023.5007536707,0.0342,0.00537070241629942
"G08","P",0.998580916160527,TRUE,"T","0.05",0.125,89300,14023.5007536707,0.0342,0.00537070241629942
"G08","P",0.98251688709769,TRUE,"T","0.05",0.05,89300,14023.5007536707,0.0342,0.00537070241629942
"G08","P",0.773741272634387,TRUE,"T","0.05",0.025,89300,14023.5007536707,0.0342,0.00537070241629942
"G08","P",1,FALSE,"T","0.05",0.5,89300,14023.5007536707,0.0342,0.00537070241629942
"G08","P",0,TRUE,"T","0.05",0,NA,NA,NA,NA
"G09","P",0.998619578971586,TRUE,"T","0.025",0.5,60055.5555555556,1230.88958206547,0.023,0.000471404520791032
"G09","P",0.998849649142989,TRUE,"T","0.025",0.25,60055.5555555556,1230.88958206547,0.023,0.000471404520791032
"G09","P",0.998562061428736,TRUE,"T","0.025",0.125,60055.5555555556,1230.88958206547,0.023,0.000471404520791032
"G09","P",0.93632808006442,TRUE,"T","0.025",0.05,60055.5555555556,1230.88958206547,0.023,0.000471404520791032
"G09","P",0.671574830323249,TRUE,"T","0.025",0.025,60055.5555555556,1230.88958206547,0.023,0.000471404520791032
"G09","P",1,FALSE,"T","0.025",0.5,60055.5555555556,1230.88958206547,0.023,0.000471404520791032
"G09","P",0,TRUE,"T","0.025",0,NA,NA,NA,NA
"G10","P",0.996103611019647,TRUE,"T","0.0125",0.5,25327.7777777778,9215.24539008329,0.0097,0.00352924291535105
"G10","P",0.968719130721106,TRUE,"T","0.0125",0.25,25327.7777777778,9215.24539008329,0.0097,0.00352924291535105
"G10","P",0.58127538140709,TRUE,"T","0.0125",0.125,25327.7777777778,9215.24539008329,0.0097,0.00352924291535105
"G10","P",0.246570080122928,TRUE,"T","0.0125",0.05,25327.7777777778,9215.24539008329,0.0097,0.00352924291535105
"G10","P",0.230161343431017,TRUE,"T","0.0125",0.025,25327.7777777778,9215.24539008329,0.0097,0.00352924291535105
"G10","P",1,FALSE,"T","0.0125",0.5,25327.7777777778,9215.24539008329,0.0097,0.00352924291535105
"G10","P",0,TRUE,"T","0.0125",0,NA,NA,NA,NA
"G11","P",0.151642168121268,TRUE,"T","0.00625",0.5,2611.11111111111,0,0.001,0
"G11","P",0.122645842903078,TRUE,"T","0.00625",0.25,2611.11111111111,0,0.001,0
"G11","P",0.13114377583831,TRUE,"T","0.00625",0.125,2611.11111111111,0,0.001,0
"G11","P",0.122645842903078,TRUE,"T","0.00625",0.05,2611.11111111111,0,0.001,0
"G11","P",0.132005052824989,TRUE,"T","0.00625",0.025,2611.11111111111,0,0.001,0
"G11","P",1,FALSE,"T","0.00625",0.5,2611.11111111111,0,0.001,0
"G11","P",0,TRUE,"T","0.00625",0,NA,NA,NA,NA
"G12","P",0.149951842041897,TRUE,"T","0",0.5,2611.11111111111,0,0.001,0
"G12","P",0.0791596436311102,TRUE,"T","0",0.25,2611.11111111111,0,0.001,0
"G12","P",0.094449795328678,TRUE,"T","0",0.125,2611.11111111111,0,0.001,0
"G12","P",0.110161329159644,TRUE,"T","0",0.05,2611.11111111111,0,0.001,0
"G12","P",0.092222489766434,TRUE,"T","0",0.025,2611.11111111111,0,0.001,0
"G12","P",1,FALSE,"T","0",0.5,2611.11111111111,0,0.001,0
"G12","P",0,TRUE,"T","0",0,NA,NA,NA,NA
"A01","S",0.546221303692119,TRUE,"C","0.1",0.5,129311.162790698,5612.75319050298,0.1471,0.00638487796803249
"A01","S",0.366251466234709,TRUE,"C","0.1",0.25,129311.162790698,5612.75319050298,0.1471,0.00638487796803249
"A01","S",0.148522593978663,TRUE,"C","0.1",0.125,129311.162790698,5612.75319050298,0.1471,0.00638487796803249
"A01","S",0.152264983522315,TRUE,"C","0.1",0.05,129311.162790698,5612.75319050298,0.1471,0.00638487796803249
"A01","S",0.148355024297604,TRUE,"C","0.1",0.025,129311.162790698,5612.75319050298,0.1471,0.00638487796803249
"A01","S",1,FALSE,"C","0.1",0.5,129311.162790698,5612.75319050298,0.1471,0.00638487796803249
"A01","S",0,TRUE,"C","0.1",0,NA,NA,NA,NA
"A02","S",0.480945489628558,TRUE,"C","0.05",0.5,106719.069767442,1386.83916775917,0.1214,0.00157762127549323
"A02","S",0.228774722624216,TRUE,"C","0.05",0.25,106719.069767442,1386.83916775917,0.1214,0.00157762127549323
"A02","S",0.0917149059334299,TRUE,"C","0.05",0.125,106719.069767442,1386.83916775917,0.1214,0.00157762127549323
"A02","S",0.076519536903039,TRUE,"C","0.05",0.05,106719.069767442,1386.83916775917,0.1214,0.00157762127549323
"A02","S",0.0949107573564881,TRUE,"C","0.05",0.025,106719.069767442,1386.83916775917,0.1214,0.00157762127549323
"A02","S",1,FALSE,"C","0.05",0.5,106719.069767442,1386.83916775917,0.1214,0.00157762127549323
"A02","S",0,TRUE,"C","0.05",0,NA,NA,NA,NA
"A03","S",0.416114928169894,TRUE,"C","0.025",0.5,79995.3488372093,1096.39262961283,0.091,0.00124721912892465
"A03","S",0.174515927545284,TRUE,"C","0.025",0.25,79995.3488372093,1096.39262961283,0.091,0.00124721912892465
"A03","S",-0.0540287320424733,TRUE,"C","0.025",0.125,79995.3488372093,1096.39262961283,0.091,0.00124721912892465
"A03","S",0.0470955652717052,TRUE,"C","0.025",0.05,79995.3488372093,1096.39262961283,0.091,0.00124721912892465
"A03","S",0.0559650218613368,TRUE,"C","0.025",0.025,79995.3488372093,1096.39262961283,0.091,0.00124721912892465
"A03","S",1,FALSE,"C","0.025",0.5,79995.3488372093,1096.39262961283,0.091,0.00124721912892465
"A03","S",0,TRUE,"C","0.025",0,NA,NA,NA,NA
"A04","S",0.406648264521055,TRUE,"C","0.0125",0.5,64172.0930232558,1015.06233373804,0.073,0.00115470053837925
"A04","S",0.204263816291772,TRUE,"C","0.0125",0.25,64172.0930232558,1015.06233373804,0.073,0.00115470053837925
"A04","S",0.0452810242555941,TRUE,"C","0.0125",0.125,64172.0930232558,1015.06233373804,0.073,0.00115470053837925
"A04","S",0.112644623245434,TRUE,"C","0.0125",0.05,64172.0930232558,1015.06233373804,0.073,0.00115470053837925
"A04","S",0.133963704704293,TRUE,"C","0.0125",0.025,64172.0930232558,1015.06233373804,0.073,0.00115470053837925
"A04","S",1,FALSE,"C","0.0125",0.5,64172.0930232558,1015.06233373804,0.073,0.00115470053837925
"A04","S",0,TRUE,"C","0.0125",0,NA,NA,NA,NA
"A05","S",0.30080475603567,TRUE,"C","0.00625",0.5,54150.6976744186,1111.94507492432,0.0616,0.00126491106406735
"A05","S",0.0123975929819474,TRUE,"C","0.00625",0.25,54150.6976744186,1111.94507492432,0.0616,0.00126491106406735
"A05","S",-0.232146741100558,TRUE,"C","0.00625",0.125,54150.6976744186,1111.94507492432,0.0616,0.00126491106406735
"A05","S",-0.0865656492423694,TRUE,"C","0.00625",0.05,54150.6976744186,1111.94507492432,0.0616,0.00126491106406735
"A05","S",-0.0719930399477997,TRUE,"C","0.00625",0.025,54150.6976744186,1111.94507492432,0.0616,0.00126491106406735
"A05","S",1,FALSE,"C","0.00625",0.5,54150.6976744186,1111.94507492432,0.0616,0.00126491106406735
"A05","S",0,TRUE,"C","0.00625",0,NA,NA,NA,NA
"A06","S",0.492957746478873,TRUE,"C","0",0.5,53886.9767441861,1246.64091658559,0.0613,0.00141813649241218
"A06","S",0.359377316530763,TRUE,"C","0",0.25,53886.9767441861,1246.64091658559,0.0613,0.00141813649241218
"A06","S",0.189918458117124,TRUE,"C","0",0.125,53886.9767441861,1246.64091658559,0.0613,0.00141813649241218
"A06","S",0.212453669384729,TRUE,"C","0",0.05,53886.9767441861,1246.64091658559,0.0613,0.00141813649241218
"A06","S",0.222831727205337,TRUE,"C","0",0.025,53886.9767441861,1246.64091658559,0.0613,0.00141813649241218
"A06","S",1,FALSE,"C","0",0.5,53886.9767441861,1246.64091658559,0.0613,0.00141813649241218
"A06","S",0,TRUE,"C","0",0,NA,NA,NA,NA
"A07","S",0.523769621808837,TRUE,"C","0.1",0.5,131860.465116279,5681.93173985542,0.15,0.00646357314322178
"A07","S",0.295793531087649,TRUE,"C","0.1",0.25,131860.465116279,5681.93173985542,0.15,0.00646357314322178
"A07","S",0.0397184514831572,TRUE,"C","0.1",0.125,131860.465116279,5681.93173985542,0.15,0.00646357314322178
"A07","S",0.1476453829395,TRUE,"C","0.1",0.05,131860.465116279,5681.93173985542,0.15,0.00646357314322178
"A07","S",-0.17619127423049,TRUE,"C","0.1",0.025,131860.465116279,5681.93173985542,0.15,0.00646357314322178
"A07","S",1,FALSE,"C","0.1",0.5,131860.465116279,5681.93173985542,0.15,0.00646357314322178
"A07","S",0,TRUE,"C","0.1",0,NA,NA,NA,NA
"A08","S",0.48002949489984,TRUE,"C","0.05",0.5,106806.976744186,4190.33501257084,0.1215,0.00476678321535836
