"S2","S1","Vj.fit","se","Vj.s1","se.s1","od.m.x","od.sd.x","Vj.s2","se.s2","od.m.y","od.sd.y","Vj.pred","Vj.pred.se","xt","f.fitted","upper.f.fitted","lower.f.fitted","f.pred","upper.f.pred","lower.f.pred"
"T","T",7.66547152852633,0.265089646573444,7.66547152852633,0.265089646573444,0.1933,0.0182366389447179,7.66547152852633,0.265089646573444,0.1933,0.0182366389447179,7.66547152852633,0.374893373428854,0.121212121212121,0.238198743978408,0.261817626717153,0.214696572665013,0.238198743978408,0.27160973544716,0.205023501853095
"C","C",0.217480404291784,0.0157541619036859,0.217480404291784,0.0157541619036859,0.26234,0.00429453140633527,0.217480404291784,0.0157541619036859,0.26234,0.00429453140633527,0.217480404291784,0.0222797494280141,0.242424242424242,0.00134193425690943,0.00175004522242939,0.000986254440401124,0.00134193425690943,0.00193425379375822,0.000854478604373488
"C","E",0.118407044972418,0.00741942590072597,0.0393056711725707,0.0104639592554802,0.3415,0.00969974226461713,0.217480404291784,0.0157541619036859,0.26234,0.00429453140633527,0.128393037732177,0.0189126428768667,0.242424242424242,0.000404181344188514,0.000510610798481248,0.000309965360250852,0.000474465862488116,0.000790374313755171,0.000237529872258113
"C","M",0.988512062582894,0.0357302860722967,1.66871036208599,0.0765600097148578,0.05836,0.0127805711922433,0.217480404291784,0.0157541619036859,0.26234,0.00429453140633527,0.943095383188889,0.078164113919539,0.242424242424242,0.0245133920963099,0.0278688142449789,0.0213375549853616,0.0224737376522925,0.0297955705761223,0.0160337338566241
"C","P",0.160993943808967,0.0110808157067886,0.184832622968474,0.01983947055431,0.00454,0.00260633842775646,0.217480404291784,0.0157541619036859,0.26234,0.00429453140633527,0.201156513630129,0.0253337365811457,0.242424242424242,0.000742095127187259,0.000957041360024724,0.000553824796567293,0.00115106559361478,0.00178931208497568,0.000649509115647984
"C","S",0.710885540380914,0.0179965581112947,1.21731313276615,0.133091299998755,0.15492,0.00665146600382202,0.217480404291784,0.0157541619036859,0.26234,0.00429453140633527,0.717396768528968,0.134020475124685,0.242424242424242,0.0132490918879979,0.0145411300582492,0.0120100945102165,0.013478924315826,0.0243730143143936,0.0055195903212818
"C","T",3.60081393827509,0.22124759219211,7.66547152852633,0.265089646573444,0.1933,0.0182366389447179,0.217480404291784,0.0157541619036859,0.26234,0.00429453140633527,3.94147596640906,0.265557365436775,0.242424242424242,0.217626811771045,0.256956169693321,0.178918101482166,0.247879434401463,0.295205084661169,0.200855490616497
"E","E",0.0393056711725707,0.0104639592554802,0.0393056711725707,0.0104639592554802,0.3415,0.00969974226461713,0.0393056711725707,0.0104639592554802,0.3415,0.00969974226461713,0.0393056711725707,0.0147982730952196,0.242424242424242,4.51102050756935e-05,0.000105578242666438,9.89503253101542e-06,4.51102050756935e-05,0.000137960794042158,2.76567328616473e-06
"E","M",0.88469217783498,0.024727676759557,1.66871036208599,0.0765600097148578,0.05836,0.0127805711922433,0.0393056711725707,0.0104639592554802,0.3415,0.00969974226461713,0.854008016629283,0.0772717900066995,0.242424242424242,0.019960477567231,0.0220806048057735,0.017931470804787,0.0186907097196174,0.0254365363885755,0.0128501475654419
"E","P",0.109934527346908,0.0133150806811061,0.184832622968474,0.01983947055431,0.00454,0.00260633842775646,0.0393056711725707,0.0104639592554802,0.3415,0.00969974226461713,0.112069147070522,0.022429869263455,0.242424242424242,0.000348885330299864,0.000536076585439638,0.000201194219589529,0.000362440837145317,0.000705554695634381,0.000131301016660812
"E","S",0.630504551677014,0.0358923511332829,1.21731313276615,0.133091299998755,0.15492,0.00665146600382202,0.0393056711725707,0.0104639592554802,0.3415,0.00969974226461713,0.628309401969361,0.133502017133297,0.242424242424242,0.0105566908414967,0.0129483208472234,0.00838526804317752,0.0104869830131997,0.020408207194077,0.00361912989290003
"E","T",3.74927846446143,0.239215690875848,7.66547152852633,0.265089646573444,0.1933,0.0182366389447179,0.0393056711725707,0.0104639592554802,0.3415,0.00969974226461713,3.85238859984945,0.265296089612594,0.242424242424242,0.230781684322415,0.273400144270218,0.188669680082001,0.239947137994005,0.28723405228845,0.193108502389974
"M","M",1.66871036208599,0.0765600097148578,1.66871036208599,0.0765600097148578,0.05836,0.0127805711922433,1.66871036208599,0.0765600097148578,0.05836,0.0127805711922433,1.66871036208599,0.108272204074168,0.242424242424242,0.0627722434542035,0.0730572755267154,0.0530349852444945,0.0627722434542035,0.0774653479128062,0.0491752348897869
"M","P",0.950036785518686,0.0373289538410525,0.184832622968474,0.01983947055431,0.00454,0.00260633842775646,1.66871036208599,0.0765600097148578,0.05836,0.0127805711922433,0.926771492527234,0.0790888088127167,0.242424242424242,0.022780704910468,0.026190348838251,0.0195713411377378,0.0217587127421299,0.0290826161572288,0.0153458639169149
"M","S",1.40477439100873,0.0708902852441646,1.21731313276615,0.133091299998755,0.15492,0.00665146600382202,1.66871036208599,0.0765600097148578,0.05836,0.0127805711922433,1.44301174742607,0.153540643553744,0.242424242424242,0.0463612708634901,0.0549572466797195,0.0383197156080414,0.0486269448278051,0.0681739303739687,0.0316243476476163
"M","T",5.57493264826994,0.415936064740689,7.66547152852633,0.265089646573444,0.1933,0.0182366389447179,1.66871036208599,0.0765600097148578,0.05836,0.0127805711922433,4.66709094530616,0.275923822472748,0.242424242424242,0.391309835367876,0.459808249553373,0.319170081567211,0.312455995801018,0.360798411776263,0.263370987751577
"P","P",0.184832622968474,0.01983947055431,0.184832622968474,0.01983947055431,0.00454,0.00260633842775646,0.184832622968474,0.01983947055431,0.00454,0.00260633842775646,0.184832622968474,0.0280572483282068,0.242424242424242,0.000974384580318732,0.00142848968338449,0.000604790526295029,0.000974384580318732,0.00164094869931486,0.000476846591456304
"P","S",0.790451884248397,0.0227637951910909,1.21731313276615,0.133091299998755,0.15492,0.00665146600382202,0.184832622968474,0.01983947055431,0.00454,0.00260633842775646,0.701072877867313,0.134561876946013,0.242424242424242,0.0161747899769418,0.0179612534567045,0.0144696298071377,0.0129060068299696,0.023682017832993,0.00511448732374531
"P","T",3.13964187734323,0.191830583687213,7.66547152852633,0.265089646573444,0.1933,0.0182366389447179,0.184832622968474,0.01983947055431,0.00454,0.00260633842775646,3.9251520757474,0.265831008936709,0.242424242424242,0.177307122092074,0.210784837260773,0.14480123954743,0.246425245011688,0.293802599232441,0.19937687529008
"S","S",1.21731313276615,0.133091299998755,1.21731313276615,0.133091299998755,0.15492,0.00665146600382202,1.21731313276615,0.133091299998755,0.15492,0.00665146600382202,1.21731313276615,0.188219521492106,0.242424242424242,0.0358549256980509,0.0510686342447889,0.0228292313712767,0.0358549256980509,0.0579336325361192,0.0181580706556752
"S","T",5.452185456884,0.504923809215251,7.66547152852633,0.265089646573444,0.1933,0.0182366389447179,1.21731313276615,0.133091299998755,0.15492,0.00665146600382202,4.44139233064624,0.29662402946456,0.242424242424242,0.380860206129921,0.464197435236056,0.292515358481188,0.29243127175859,0.344775912131194,0.23956949429733
"T","T",7.66547152852633,0.265089646573444,7.66547152852633,0.265089646573444,0.1933,0.0182366389447179,7.66547152852633,0.265089646573444,0.1933,0.0182366389447179,7.66547152852633,0.374893373428854,0.242424242424242,0.554282724866856,0.590416167822903,0.51594234557202,0.554282724866856,0.604729327090961,0.499430384292754
