"V1","V2","len.v1","len.v2","all.in","Vj.real.V1","Vj.real.V2","se.real.V1","se.real.V2","Vj.1.V1","Vj.1.V2","Vj.1.V1.se","Vj.1.V2.se","Vj.2.V1","Vj.2.V1.se","Vj.2.V2","Vj.2.V2.se","Vj.3.V1","Vj.3.V1.se","Vj.3.V2","Vj.3.V2.se","vari","poly","l1","l2","eps.h","eps.h.se","eps.h3","eps.h3.se"
"M","E-M",1,2,TRUE,2.60510350865721,1.52770306248583,0.257948961344854,0.0926138611235951,2.60510350865721,2.60510350865721,0.257948961344854,0.257948961344854,2.60510350865721,0.257948961344854,1.52770306248583,0.376367719909663,2.60510350865721,0.257948961344854,1.52770306248583,0.376367719909663,-1.07740044617138,"N",0,1,2.22044604925031e-16,0,2.22044604925031e-16,0
"E-M","E-M-P",2,3,TRUE,1.52770306248583,21.9501772909361,0.0926138611235951,2.48845717756315,2.60510350865721,2.94506111942078,0.257948961344854,0.288335662973337,1.52770306248583,0.376367719909663,37.6876111779159,3.41196454827925,1.52770306248583,0.376367719909663,21.9501772909361,5.42912730390386,20.4224742284503,"P",0,1,-15.7374338869798,4.22302275666139,0,0
"E-M","E-M-S",2,3,TRUE,1.52770306248583,2.68580584232527,0.0926138611235951,0.172637139894064,2.60510350865721,4.09992105380574,0.257948961344854,0.263982885209233,1.52770306248583,0.376367719909663,0.504085374652389,0.48464894009456,1.52770306248583,0.376367719909663,2.68580584232527,0.706804621051931,1.15810277983944,"N",0,1,2.18172046767288,0.514478548829379,0,0
"C-E-M","C-E-M-P",3,4,TRUE,0.528316968781174,11.7094348051329,0.0911117039040756,1.4643783659362,2.60510350865721,2.94506111942078,0.257948961344854,0.288335662973337,-0.579845462634905,0.471757010067616,38.1078316719152,3.43580188649349,0.528316968781174,0.673357776879555,6.36082252564514,6.55710215717116,11.1811178363517,"P",0,1,-26.3983968667823,3.73485456234298,5.34861227948776,6.71863026949695
"C-M","C-E-M",2,3,TRUE,0,0.528316968781174,0,0.0911117039040756,2.60510350865721,2.60510350865721,0.257948961344854,0.257948961344854,0,0.364794919533946,-0.579845462634905,0.471757010067616,0,0.364794919533946,0.528316968781174,0.673357776879555,0.528316968781174,"N",0,1,1.10816243141608,0.480474785120136,0,0
"C-E-M","C-E-M-T",3,4,TRUE,0.528316968781174,9.53037483024748,0.0911117039040756,0.699214046588479,2.60510350865721,10.576347958927,0.257948961344854,0.328368325521343,-0.579845462634905,0.471757010067616,11.9595679262665,1.71473403826592,0.528316968781174,0.673357776879555,7.81901300543602,3.13522661279095,9.00205786146631,"N",0,1,-2.42919309601902,1.85181346386033,1.71136182481146,3.21224939824094
"C-P","C-P-T",2,3,TRUE,2.86772662988356,9.43112037315223,0.256380031742829,0.562484222580545,0.339957610763573,8.31120206103332,0.128840164092509,0.240598999229395,2.86772662988356,0.314531868724336,18.9607371667416,2.18724458411539,2.86772662988356,0.314531868724336,9.43112037315223,3.14395709928368,6.56339374326867,"PP",0,1,-9.52961679358932,2.25841257776212,0,0
"C-P-T","C-E-P-T",3,4,TRUE,9.43112037315223,15.2965811598122,0.562484222580545,1.08113155888112,8.31120206103332,8.31120206103332,0.240598999229395,0.240598999229395,18.9607371667416,2.18724458411539,38.9943217759624,2.61910501286048,9.43112037315223,3.14395709928368,-0.97726005358227,4.79860531938078,5.86546078665997,"PP",0,1,-23.6977406161502,2.83347075439286,16.2738412133945,4.91888792907484
"C-T","C-P-T",2,3,TRUE,8.58407879511591,9.43112037315223,1.27108977684671,0.562484222580545,7.97124445026975,8.31120206103332,0.203194710922311,0.240598999229395,8.58407879511591,1.30316744967706,18.9607371667416,2.18724458411539,8.58407879511591,1.30316744967706,9.43112037315223,3.14395709928368,0.84704157803632,"P",0,1,-9.52961679358932,2.25841257776212,0,0
"P-T","C-P-T",2,3,TRUE,15.8201338027754,9.43112037315223,1.71142493086051,0.562484222580545,8.31120206103332,8.31120206103332,0.240598999229395,0.240598999229395,15.8201338027754,1.74492150277062,18.9607371667416,2.18724458411539,15.8201338027754,1.74492150277062,9.43112037315223,3.14395709928368,-6.38901342962317,"PP",0,1,-9.52961679358932,2.25841257776212,0,0
"C-P-T","C-M-P-T",3,4,TRUE,9.43112037315223,15.8153021210871,0.562484222580545,0.78117752623907,8.31120206103332,10.9163055696905,0.240598999229395,0.352740053139809,18.9607371667416,2.18724458411539,39.1999926395092,3.91900098615619,9.43112037315223,3.14395709928368,1.251439209725,7.00161060076976,6.38418174793487,"PP",0,1,-23.3846905184221,3.99609897987953,14.5638629113621,7.04505424622923
"E-P-S","E-P-S-T",3,4,TRUE,30.5512849129792,28.5238606242772,1.23232357733621,1.93114373887294,1.8347751559121,9.80601960618185,0.140531437436208,0.247057028749818,49.5337862098646,1.65011403957719,70.2837666928963,2.56359671626275,30.5512849129792,2.63901005804794,12.4571136049671,4.82353156008396,-2.027424288702,"PP",0,1,-41.7599060686191,3.2095707289015,16.0667470193101,5.19574564921284
"E-P","E-P-S",2,3,TRUE,16.5688603364037,30.5512849129792,1.27040061643595,1.23232357733621,0.339957610763573,1.8347751559121,0.128840164092509,0.140531437436208,16.5688603364037,1.28340067866883,49.5337862098646,1.65011403957719,16.5688603364037,1.28340067866883,30.5512849129792,2.63901005804794,13.9824245765755,"PP",0,1,-18.9825012968854,2.05948968020441,0,0
"E-S","E-P-S",2,3,TRUE,1.38529816487041,30.5512849129792,0.0738498512300494,1.23232357733621,1.49481754514853,1.8347751559121,0.0561185978486826,0.140531437436208,1.38529816487041,0.108408461734796,49.5337862098646,1.65011403957719,1.38529816487041,0.108408461734796,30.5512849129792,2.63901005804794,29.1659867481088,"P",0,1,-18.9825012968854,2.05948968020441,0,0
"P-S","E-P-S",2,3,TRUE,33.4144028645026,30.5512849129792,1.02188921225275,1.23232357733621,1.8347751559121,1.8347751559121,0.140531437436208,0.140531437436208,33.4144028645026,1.04103589368202,49.5337862098646,1.65011403957719,33.4144028645026,1.04103589368202,30.5512849129792,2.63901005804794,-2.8631179515234,"PP",0,1,-18.9825012968854,2.05948968020441,0,0
"E-P-S","E-M-P-S",3,4,TRUE,30.5512849129792,35.8329307179411,1.23232357733621,0.646652659411066,1.8347751559121,4.43987866456931,0.140531437436208,0.293746066470303,49.5337862098646,1.65011403957719,68.243621198673,3.57753276159501,30.5512849129792,2.63901005804794,6.66108750056508,6.99467514819404,5.2816458049619,"PP",0,1,-32.4106904807319,3.63550551123348,29.171843217376,7.02450283583733
"C-E-P","C-E-M-P",3,4,TRUE,10.0102287513234,11.7094348051329,0.715198481518576,1.4643783659362,0.339957610763573,2.94506111942078,0.128840164092509,0.288335662973337,19.5941843390601,1.32053480070254,38.1078316719152,3.43580188649349,10.0102287513234,1.99978328518354,6.36082252564514,6.55710215717116,1.6992060538095,"PP",0,1,-26.3983968667823,3.73485456234298,5.34861227948776,6.71863026949695
"C-E-M-P","C-E-M-P-S",4,5,TRUE,11.7094348051329,31.0824344495423,1.4643783659362,1.08220741968552,2.94506111942078,4.43987866456931,0.288335662973337,0.293746066470303,38.1078316719152,3.43580188649349,69.1225001340983,3.60137423547233,6.36082252564514,6.55710215717116,-8.46960882329984,7.9027570534256,19.3729996444094,"PP",0,1,-38.040065684556,3.76046131254482,39.5520432728421,7.97651189083866
"E-M-P","C-E-M-P",3,4,TRUE,21.9501772909361,11.7094348051329,2.48845717756315,1.4643783659362,2.94506111942078,2.94506111942078,0.288335662973337,0.288335662973337,37.6876111779159,3.41196454827925,38.1078316719152,3.43580188649349,21.9501772909361,5.42912730390386,6.36082252564514,6.55710215717116,-10.2407424858032,"PP",0,1,-26.3983968667823,3.73485456234298,5.34861227948776,6.71863026949695
"C-E-M-P","C-E-M-P-T",4,5,TRUE,11.7094348051329,13.320361201404,1.4643783659362,2.30388480929805,2.94506111942078,10.9163055696905,0.288335662973337,0.352740053139809,38.1078316719152,3.43580188649349,58.1561768025586,4.18441822970328,6.36082252564514,6.55710215717116,-27.2226706182786,9.05137352232883,1.6109263962711,"PP",0,1,-44.8358156011546,4.77673959260785,40.5430318196826,9.33998114854788
"C-M-P","C-E-M-P",3,4,TRUE,14.9249923059404,11.7094348051329,0.886576618358238,1.4643783659362,2.94506111942078,2.94506111942078,0.288335662973337,0.288335662973337,22.45877440891,3.17564761046905,38.1078316719152,3.43580188649349,14.9249923059404,4.5777170720759,6.36082252564514,6.55710215717116,-3.2155575008075,"PP",0,1,-26.3983968667823,3.73485456234298,5.34861227948776,6.71863026949695
"E-P-T","E-P-S-T",3,4,TRUE,16.7659524353178,28.5238606242772,1.12702572555783,1.93114373887294,8.31120206103332,9.80601960618185,0.240598999229395,0.247057028749818,35.3561634284598,2.25965902276892,70.2837666928963,2.56359671626275,16.7659524353178,3.38855496995861,12.4571136049671,4.82353156008396,11.7579081889594,"PP",0,1,-41.7599060686191,3.2095707289015,16.0667470193101,5.19574564921284
"E-S-T","E-P-S-T",3,4,TRUE,12.030689941714,28.5238606242772,0.618418419031017,1.93114373887294,9.46606199541828,9.80601960618185,0.210801773169259,0.247057028749818,14.62634690616,0.934901600275672,70.2837666928963,2.56359671626275,12.030689941714,1.45963123609796,12.4571136049671,4.82353156008396,16.4931706825632,"P",0,1,-41.7599060686191,3.2095707289015,16.0667470193101,5.19574564921284
"E-P-S-T","E-M-P-S-T",4,5,TRUE,28.5238606242772,37.2815582284598,1.93114373887294,0.988147816107647,9.80601960618185,12.4111231148391,0.247057028749818,0.357176205973435,70.2837666928963,2.56359671626275,89.6418093754459,4.15170023600278,12.4571136049671,4.82353156008396,-32.3747941388759,9.18672980640434,8.7576976041826,"PP",0,1,-52.3602511469861,4.2676751230739,69.6563523673357,9.23972080976239
"P-S-T","E-P-S-T",3,4,TRUE,33.1989726140343,28.5238606242772,0.563990636843554,1.93114373887294,9.80601960618185,9.80601960618185,0.247057028749818,0.247057028749818,50.8572564474901,2.12181930845494,70.2837666928963,2.56359671626275,33.1989726140343,3.05324741773601,12.4571136049671,4.82353156008396,-4.6751119897571,"PP",0,1,-41.7599060686191,3.2095707289015,16.0667470193101,5.19574564921284
"M","C-M",1,2,TRUE,2.60510350865721,0,0.257948961344854,0,2.60510350865721,2.60510350865721,0.257948961344854,0.257948961344854,2.60510350865721,0.257948961344854,0,0.364794919533946,2.60510350865721,0.257948961344854,0,0.364794919533946,-2.60510350865721,"N",0,1,0,0,0,0
"C-M","C-M-P",2,3,TRUE,0,14.9249923059404,0,0.886576618358238,2.60510350865721,2.94506111942078,0.257948961344854,0.288335662973337,0,0.364794919533946,22.45877440891,3.17564761046905,0,0.364794919533946,14.9249923059404,4.5777170720759,14.9249923059404,"P",0,1,-7.53378210296956,3.29708292981801,0,0
"E-P","C-E-P",2,3,TRUE,16.5688603364037,10.0102287513234,1.27040061643595,0.715198481518576,0.339957610763573,0.339957610763573,0.128840164092509,0.128840164092509,16.5688603364037,1.28340067866883,19.5941843390601,1.32053480070254,16.5688603364037,1.28340067866883,10.0102287513234,1.99978328518354,-6.5586315850803,"PP",0,1,-9.58395558773674,1.50177262854035,0,0
"E-P","E-P-T",2,3,TRUE,16.5688603364037,16.7659524353178,1.27040061643595,1.12702572555783,0.339957610763573,8.31120206103332,0.128840164092509,0.240598999229395,16.5688603364037,1.28340067866883,35.3561634284598,2.25965902276892,16.5688603364037,1.28340067866883,16.7659524353178,3.38855496995861,0.197092098914101,"PP",0,1,-18.590210993142,2.52512294458115,0,0
