"cond.SN","cond.SN.dil","strain","well","fit","fit.se"
"C","0.05","S","A02",1.12523064787481,0.0958514224716463
"C","0.025","S","A03",0.934628472439614,0.0941779822205093
"C","0.0125","S","A04",0.975597028135329,0.133052185758632
"C","0.00625","S","A05",0.621250290074727,0.221261111396705
"C","0","S","A06",1.3466230382753,0.302137911168934
"C","0.1","S","A07",1.23936088407274,0.200784862995213
"C","0.05","S","A08",1.09412028420492,0.0551908449365857
"C","0.025","S","A09",1.05405142919303,0.0496230875438546
"C","0.0125","S","A10",1.18624690701817,0.134213877347875
"C","0.00625","S","A11",1.16410715780854,0.131074419922449
"C","0","S","A12",1.12562101254784,0.0704216615601651
"E","0.1","S","B01",1.65732084100454,0.15268336381666
"E","0.05","S","B02",1.30446383230322,0.159372046838405
"E","0.025","S","B03",1.32519076421671,0.24540946043476
"E","0.0125","S","B04",0.768400152457042,0.0913588530963426
"E","0.00625","S","B05",1.02313569059914,0.234331740497472
"E","0","S","B06",0.961979632356424,0.175711046793007
"E","0.1","S","B07",1.23421614370372,0.125011152303106
"E","0.05","S","B08",1.37299910195407,0.213673233523066
"E","0.025","S","B09",1.30930389732901,0.13523732097634
"E","0.0125","S","B10",1.2312354178506,0.169945932093094
"E","0.00625","S","B11",1.285186376993,0.225866920140261
"E","0","S","B12",1.29308477814405,0.0734805069778489
"M","0.1","S","D01",2.68525686659789,0.21346532505981
"M","0.05","S","D02",1.69997417870057,0.217560801441809
"M","0.025","S","D03",1.30572018599633,0.17689540402783
"M","0.0125","S","D04",0.928711733348879,0.167140041227257
"M","0.00625","S","D05",0.936764023083263,0.117358813950466
"M","0","S","D06",1.02414568225051,0.321496432896724
"M","0.1","S","D07",2.68995807663064,0.592317114680906
"M","0.05","S","D08",1.90442970706044,0.385250413102764
"M","0.025","S","D09",1.26523020485807,0.186633925604346
"M","0.0125","S","D10",1.30920641904241,0.269491783518982
"M","0.00625","S","D11",1.12133962749007,0.147537972425171
"M","0","S","D12",1.49980091084815,0.165075875409119
"P","0.1","S","E01",4.83534226933644,0.245536877593177
"P","0.05","S","E02",2.61651424761332,0.339221712389912
"P","0.025","S","E03",1.51244873720518,0.220631203431163
"P","0.0125","S","E04",1.31814375552709,0.259817872717931
"P","0.00625","S","E05",1.29518745552051,0.350190988882176
"P","0","S","E06",0.848784389979191,0.259279413155428
"P","0.1","S","E07",3.65142795388722,0.357066513005802
"P","0.05","S","E08",1.75393868331954,0.233949331496153
"P","0.025","S","E09",1.45681962054775,0.224157731219173
"P","0.0125","S","E10",1.50120740172261,0.227402612740467
"P","0.00625","S","E11",1.53270163837002,0.249171169328097
"P","0","S","E12",1.4993882710456,0.245035162460931
"S","0.1","S","F01",1.6071928614962,0.156287033187227
"S","0.05","S","F02",1.4878094442925,0.244767159004262
"S","0.025","S","F03",1.00701152028093,0.109427517807146
"S","0.0125","S","F04",1.0520432525418,0.223084966239345
"S","0.00625","S","F05",0.862712688985265,0.196682562671071
"S","0","S","F06",0.79917319974448,0.139464346187037
"S","0.1","S","F07",0.840646162313527,0.237396264166498
"S","0.05","S","F08",1.07119509245041,0.21259171575336
"S","0.025","S","F09",0.990151528884935,0.120730873020567
"S","0.0125","S","F10",1.19235388120756,0.219197569408933
"S","0.00625","S","F11",1.21402779363183,0.218054577466964
"S","0","S","F12",1.40833070605701,0.165819221957978
"T","0.1","S","G01",2.6361739171754,0.364564583849947
"T","0.05","S","G02",0.893975386378088,0.187797356374003
"T","0.025","S","G03",1.36322110790022,0.281066774980302
"T","0.0125","S","G04",1.15425158716463,0.226224139761121
"T","0.00625","S","G05",1.1021506367752,0.210037408782029
"T","0","S","G06",1.09987267084053,0.195815470213666
"T","0.1","S","G07",1.87864620221869,0.411632343657521
"T","0.05","S","G08",1.45851880570768,0.240113945769694
"T","0.025","S","G09",1.27495120271521,0.25314684553064
"T","0.0125","S","G10",1.24461246887429,0.254617466616378
"T","0.00625","S","G11",1.21429044867433,0.173154138044589
"T","0","S","G12",1.19152163772322,0.096802131544528
"C","0.1","T","A01",5.55758971288188,0.589688442022968
"C","0.05","T","A02",5.70696763070665,0.609635058539848
"C","0.025","T","A03",5.34378022086545,0.829017718296899
"C","0.0125","T","A04",5.42605308508611,0.769150168007186
"C","0.00625","T","A05",3.84853714553675,1.17854444741467
"C","0","T","A06",5.0667376181491,0.54735469937323
"C","0.1","T","A07",3.91045301995503,0.405979920723929
"C","0.05","T","A08",4.15996288331768,0.527843176115371
"C","0.025","T","A09",4.50243638445996,0.468036153102568
"C","0.0125","T","A10",5.51854184532893,0.260074019274527
"C","0.00625","T","A11",5.45409735722346,0.48428940662483
"C","0","T","A12",5.40537369757678,0.935428184819536
"E","0.1","T","B01",5.01058253907316,0.758385705010707
"E","0.05","T","B02",6.60372556415093,0.811550710065066
"E","0.025","T","B03",6.8772166261869,1.17209445634335
"E","0.0125","T","B04",5.41045280147978,1.1876307354617
"E","0.00625","T","B05",5.77321560856734,0.980474860655678
"E","0","T","B06",5.68301953314204,0.996331950829937
"E","0.1","T","B07",4.90125595751835,0.391583926591779
"E","0.05","T","B08",6.21367868153201,0.961835205641888
"E","0.025","T","B09",6.74949482769317,0.949489048299399
"E","0.0125","T","B10",6.21449815098838,0.924260069046753
"E","0.00625","T","B11",7.00131096538804,1.51125971884907
"E","0","T","B12",5.55526323518159,1.48042522430856
"M","0.1","T","D01",5.01263830709164,0.377866175308782
"M","0.05","T","D02",5.78335125248961,0.157310746168146
"M","0.025","T","D03",6.12888432687157,0.263887278778504
"M","0.0125","T","D04",6.1651538189205,0.656230766593966
"M","0.00625","T","D05",5.65031101473949,0.692122340781647
"M","0","T","D06",5.88515016114294,0.304738069099817
"M","0.1","T","D07",5.58145246466313,0.477762081833992
"M","0.05","T","D08",5.58780222220493,0.237446605398332
"M","0.025","T","D09",6.01554538585663,0.88949608556324
"M","0.0125","T","D10",7.15595562924246,0.229911920361359
"M","0.00625","T","D11",5.82138090693021,0.523213182445751
"M","0","T","D12",5.94551088197741,0.589274685098321
"P","0.1","T","E01",3.98552207829946,0.463920013684195
"P","0.05","T","E02",5.46850000585883,0.259851575259177
"P","0.025","T","E03",5.27666579949552,0.326246762948166
"P","0.0125","T","E04",5.84336289738745,0.299883582071613
"P","0.00625","T","E05",4.9584072271716,0.248752461140159
"P","0","T","E06",6.05880192503658,0.61956854658282
"P","0.1","T","E07",5.38102556790739,0.505613994347777
"P","0.05","T","E08",4.48874225615565,0.321161352450383
"P","0.025","T","E09",5.15725826222624,0.32169400514742
"P","0.0125","T","E10",6.9412820030818,0.282416168531916
"P","0.00625","T","E11",5.71325209970986,0.225557201275313
"P","0","T","E12",6.95710987394899,0.127498544143108
"S","0.1","T","F01",5.2645948310037,0.307948560569375
"S","0.05","T","F02",7.60268837539189,0.250029498248851
"S","0.025","T","F03",5.92419572577431,0.263828251390526
"S","0.0125","T","F04",6.20134570344858,0.349075247381417
"S","0.00625","T","F05",5.56695451180298,0.159401572630503
"S","0","T","F06",6.15173335888513,0.173356828321687
"S","0.1","T","F07",4.13994494908913,0.853412430705309
"S","0.05","T","F08",6.30485388401798,0.677271388756489
